Model,Dataset,Accuracy,Balanced Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),Precision (macro),Recall (macro),F1 (macro),Precision (HD),Recall (HD),F1 (HD),Specificity,ROC-AUC,PR-AUC,TP,FP,TN,FN,train_time,Category
Random Forest,Dataset A,0.94,0.7038,0.9383,0.94,0.9391,0.7165,0.7038,0.7099,0.4666,0.4375,0.4515,0.9701,0.8791,0.3798,2197,2512,81461,2825,73.97,Baseline
Logistic Regression,Dataset A,0.8222,0.7952,0.9395,0.8222,0.8653,0.5955,0.7952,0.6122,0.2078,0.7648,0.3268,0.8256,0.878,0.3913,3841,14646,69327,1181,15.52,Baseline
XGBoost,Dataset A,0.947,0.618,,,,0.7635,0.618,0.6586,0.5706,0.2471,0.3449,0.9889,0.8865,0.411,1241,934,83039,3781,16.41,Main
CatBoost,Dataset A,0.9478,0.6156,,,,0.7737,0.6156,0.6577,0.5913,0.2411,0.3426,0.99,0.886,0.4203,1211,837,83136,3811,26.72,Main
LightGBM,Dataset A,0.9467,0.6129,,,,0.7616,0.6129,0.6531,0.5673,0.2366,0.3339,0.9892,0.8858,0.4107,1188,906,83067,3834,11.93,Main
TabNet,Dataset A,0.8183,0.7798,,,,0.5903,0.7798,0.6046,0.1994,0.7364,0.3139,0.8232,0.8616,0.3473,3698,14844,69129,1324,1149.18,Main
TabNet,Dataset A,0.8183,0.7798,,,,0.5903,0.7798,0.6046,0.1994,0.7364,0.3139,0.8232,0.8616,0.3473,3698,14844,69129,1324,1145.12,Main
XGBoost (tuned),Dataset A,0.9395,0.7196,,,,0.7166,0.7196,0.7181,0.4648,0.4717,0.4682,0.9675,0.881,0.3949,2369,2728,81245,2653,15.78,Tuned
CatBoost (tuned),Dataset A,0.9394,0.7193,,,,0.716,0.7193,0.7176,0.4636,0.4711,0.4674,0.9674,0.8797,0.4045,2366,2737,81236,2656,23.91,Tuned
Random Forest,Dataset B,0.9022,0.8998,0.9021,0.9022,0.902,0.9019,0.8998,0.9008,0.9038,0.9216,0.9126,0.878,0.9267,0.9141,94,10,72,8,0.19,Baseline
Logistic Regression,Dataset B,0.8696,0.862,0.8725,0.8696,0.8684,0.8755,0.862,0.866,0.8482,0.9314,0.8879,0.7927,0.8969,0.8793,95,17,65,7,0.02,Baseline
TabNet,Dataset B,0.8696,0.862,,,,0.8755,0.862,0.866,0.8482,0.9314,0.8879,0.7927,0.9333,0.9435,95,17,65,7,23.38,Main
TabNet,Dataset B,0.8696,0.862,,,,0.8755,0.862,0.866,0.8482,0.9314,0.8879,0.7927,0.9333,0.9435,95,17,65,7,22.94,Main
LightGBM,Dataset B,0.875,0.8753,,,,0.873,0.8753,0.8739,0.899,0.8725,0.8856,0.878,0.9322,0.9356,89,10,72,13,0.1,Main
CatBoost,Dataset B,0.875,0.8765,,,,0.8731,0.8765,0.8742,0.9072,0.8627,0.8844,0.8902,0.9308,0.9347,88,9,73,14,0.54,Main
XGBoost,Dataset B,0.8587,0.8594,,,,0.8567,0.8594,0.8576,0.8878,0.8529,0.87,0.8659,0.926,0.9343,87,11,71,15,0.13,Main
CatBoost (tuned),Dataset B,0.8967,0.8913,,,,0.9004,0.8913,0.8945,0.8807,0.9412,0.91,0.8415,0.9307,0.9309,96,13,69,6,0.54,Tuned
XGBoost (tuned),Dataset B,0.8804,0.8754,,,,0.8826,0.8754,0.878,0.8704,0.9216,0.8952,0.8293,0.9211,0.9171,94,14,68,8,0.11,Tuned
